,Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
0,2728246,12-Oct-23,Minnesota,Princeton,200 block of 190th Ave NE,0,5,0,1,1
1,2727876,10-Oct-23,Wisconsin,Madison,116 Milky Way,1,3,0,0,0
2,2725771,8-Oct-23,Illinois,Chicago,316 W Erie St,0,8,0,0,0
3,2725838,8-Oct-23,Pennsylvania,Indiana,640 N 5th Ave,1,8,0,0,0
4,2726444,8-Oct-23,Louisiana,Gonzales,616 N Tobey Ave,0,4,0,0,0
5,2725206,7-Oct-23,Illinois,Chicago,5012 N Winthrop Ave,0,4,0,0,0
6,2725669,7-Oct-23,California,Inglewood,3333 W Manchester Blvd,2,3,0,0,0
7,2725422,6-Oct-23,Nevada,Reno,10640 N McCarran Blvd,0,7,0,0,0
8,2725126,6-Oct-23,South Carolina,Florence,1100 block of Oakland Ave,0,4,0,0,0
9,2725133,6-Oct-23,District of Columbia,Washington,100 block of Quincy Pl NE,0,5,0,0,0
10,2723347,4-Oct-23,California,Los Angeles,S. Central Ave and E. 90th St,1,4,0,0,0
11,2723247,4-Oct-23,Pennsylvania,Philadelphia,7500 block of Whitaker Ave,0,4,1,0,0
12,2723237,4-Oct-23,Minnesota,Saint Paul,1200 block of Hazelwood St,1,3,0,0,0
13,2722363,3-Oct-23,Maryland,Baltimore,1800 Argonne Dr,0,5,0,0,1
14,2720893,2-Oct-23,Pennsylvania,Philadelphia,6115 Shelbourne St,3,1,1,0,0
15,2720112,1-Oct-23,Kentucky,Lexington,100 block of N Mill St,0,4,0,0,1
16,2720910,1-Oct-23,Ohio,Toledo,500 block of Leach St,0,4,0,0,0
17,2720476,1-Oct-23,Illinois,Chicago,50 block of S Whipple St,2,2,0,0,0
18,2720136,1-Oct-23,Nebraska,Omaha,N 24th St and Decatur St,1,5,0,0,0
19,2720311,1-Oct-23,Texas,Houston,8700 block of Cypressbrook Dr,2,2,0,0,1
20,2720526,1-Oct-23,New Jersey,Jersey City,260 Culver Ave,0,5,0,0,0
21,2720419,30-Sep-23,Texas,Laredo,717 E Travis St,0,4,0,0,0
22,2720128,30-Sep-23,California,San Pedro,1230 N Park Western Dr,1,3,0,0,0
23,2719793,29-Sep-23,Louisiana,Lake Charles,2212 Broad St,1,3,0,0,1
24,2717131,27-Sep-23,District of Columbia,Washington,2423 14th St NE,2,3,0,0,0
25,2715316,25-Sep-23,Texas,Dallas,4800 block of Elsie Faye Heggins St,1,3,0,0,1
26,2715722,25-Sep-23,Florida,Jacksonville,4229 Moncrief Rd W,0,6,0,0,0
27,2714225,24-Sep-23,Oklahoma,Oklahoma City,SW 26th St and S Agnew Ave,0,4,0,0,0
28,2714677,24-Sep-23,South Carolina,Columbia,225 Saddletrail Rd,3,1,0,0,3
29,2714319,23-Sep-23,Florida,Jacksonville,8846 A C Skinner Pkwy,3,1,0,0,0
