,Unnamed: 0,Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
0,0,2728246,2023-10-12,Minnesota,Princeton,200 block of 190th Ave NE,0,5,0,1,1
1,1,2727876,2023-10-10,Wisconsin,Madison,116 Milky Way,1,3,0,0,0
2,2,2725771,2023-10-08,Illinois,Chicago,316 W Erie St,0,8,0,0,0
3,3,2725838,2023-10-08,Pennsylvania,Indiana,640 N 5th Ave,1,8,0,0,0
4,4,2726444,2023-10-08,Louisiana,Gonzales,616 N Tobey Ave,0,4,0,0,0
5,5,2725206,2023-10-07,Illinois,Chicago,5012 N Winthrop Ave,0,4,0,0,0
6,6,2725669,2023-10-07,California,Inglewood,3333 W Manchester Blvd,2,3,0,0,0
7,7,2725422,2023-10-06,Nevada,Reno,10640 N McCarran Blvd,0,7,0,0,0
8,8,2725126,2023-10-06,South Carolina,Florence,1100 block of Oakland Ave,0,4,0,0,0
9,9,2725133,2023-10-06,District of Columbia,Washington,100 block of Quincy Pl NE,0,5,0,0,0
10,10,2723347,2023-10-04,California,Los Angeles,S. Central Ave and E. 90th St,1,4,0,0,0
11,11,2723247,2023-10-04,Pennsylvania,Philadelphia,7500 block of Whitaker Ave,0,4,1,0,0
12,12,2723237,2023-10-04,Minnesota,Saint Paul,1200 block of Hazelwood St,1,3,0,0,0
13,13,2722363,2023-10-03,Maryland,Baltimore,1800 Argonne Dr,0,5,0,0,1
14,14,2720893,2023-10-02,Pennsylvania,Philadelphia,6115 Shelbourne St,3,1,1,0,0
15,15,2720112,2023-10-01,Kentucky,Lexington,100 block of N Mill St,0,4,0,0,1
16,16,2720910,2023-10-01,Ohio,Toledo,500 block of Leach St,0,4,0,0,0
17,17,2720476,2023-10-01,Illinois,Chicago,50 block of S Whipple St,2,2,0,0,0
18,18,2720136,2023-10-01,Nebraska,Omaha,N 24th St and Decatur St,1,5,0,0,0
19,19,2720311,2023-10-01,Texas,Houston,8700 block of Cypressbrook Dr,2,2,0,0,1
20,20,2720526,2023-10-01,New Jersey,Jersey City,260 Culver Ave,0,5,0,0,0
21,21,2720419,2023-09-30,Texas,Laredo,717 E Travis St,0,4,0,0,0
22,22,2720128,2023-09-30,California,San Pedro,1230 N Park Western Dr,1,3,0,0,0
23,23,2719793,2023-09-29,Louisiana,Lake Charles,2212 Broad St,1,3,0,0,1
24,24,2717131,2023-09-27,District of Columbia,Washington,2423 14th St NE,2,3,0,0,0
25,25,2715316,2023-09-25,Texas,Dallas,4800 block of Elsie Faye Heggins St,1,3,0,0,1
26,26,2715722,2023-09-25,Florida,Jacksonville,4229 Moncrief Rd W,0,6,0,0,0
27,27,2714225,2023-09-24,Oklahoma,Oklahoma City,SW 26th St and S Agnew Ave,0,4,0,0,0
28,28,2714677,2023-09-24,South Carolina,Columbia,225 Saddletrail Rd,3,1,0,0,3
29,29,2714319,2023-09-23,Florida,Jacksonville,8846 A C Skinner Pkwy,3,1,0,0,0
